gene id,gene name,mcf7_sicbx2_3_rep1,mcf7_sicbx2_3_rep2,mcf7_sicbx2_3_rep3,mcf7_siscr_rep1,mcf7_siscr_rep2,mcf7_siscr_rep3
ENSG00000197261.11,C6orf141,95.13592,132.05337,184.81312,50.63475,60.53148,89.80922
ENSG00000197275.14,RAD54B,8.36293,8.999345,5.408873,17.831991,16.105793,14.735601
ENSG00000197283.16,SYNGAP1,16.127191,24.54256123,42.5708734,7.7205821,4.87010305,6.559571
ENSG00000197296.6,FITM2,7.1798,7.42859,4.22205,9.51997,8.74965,7.80056
ENSG00000197299.12,BLM,3.142142,1.764071,1.738233,10.109901,10.99568468,8.50468158
ENSG00000197302.10,ZNF720,61.517038,78.111019,76.51449,35.478349,27.377405,32.839031
ENSG00000197321.14,SVIL,52.044386,38.066732,93.4893329,25.0638625,23.057243,30.9173917
ENSG00000197323.12,TRIM33,80.087644,70.610906,80.48008,126.55918,104.09589,120.59317
ENSG00000197355.11,UAP1L1,51.97383,46.09866,79.35705,19.31355,18.62342,25.48597
ENSG00000197372.9,ZNF675,18.288737,15.88586,18.769168,7.2275869,7.851678,8.48267
ENSG00000197375.12,SLC22A5,10.403085,12.286691,20.612371,34.843053,34.188423,41.976644
ENSG00000197386.12,HTT,35.435351,32.9874513,29.988723,18.8299888,15.211938,14.281007
ENSG00000197429.10,IPP,12.351202,16.57383,9.425605,7.23776,7.79547,6.307241
ENSG00000197472.15,ZNF695,4.402591,5.517684,5.537365,8.53851,9.600215,10.541945
ENSG00000197479.6,PCDHB11,1.555394,1.66126,1.18362,0.745957,0.507782,0.5633363
ENSG00000197496.6,SLC2A10,12.732847,15.41188,20.55144,28.47059,29.04256,23.5807
