gene_id,gene_name,mcf7_sicbx2_1,mcf7_sicbx2_2,mcf7_sicbx2_3,mcf7_siscr_1,mcf7_siscr_2,mcf7_siscr_3
ENSG00000159733.13,ZFYVE28,4.6141893,3.4384065,4.6802113,2.522377,2.243608,2.0403157
ENSG00000160007.18,ARHGAP35,38.6552721,41.2995497,35.156255,25.31439845,22.1611832,17.6211778
ENSG00000160014.16,CALM3,312.444514,365.501466,317.61521,191.744193,203.156122,163.5994309
ENSG00000160051.11,IQCC,4.653859,4.504725,3.943369,2.378648,2.315237,2.219396
ENSG00000160055.19,TMEM234,13.541044,13.524388,15.717117,5.623515252,5.999129,6.56607224
ENSG00000160058.18,BSDC1,60.191013,71.7561052,64.4822574,20.749023,21.998166,22.6997907
ENSG00000160111.13,CPAMD8,2.549841991,3.1033203,3.0512998,1.2505538,0.9176251,0.9865283
ENSG00000160145.15,KALRN,11.76698513,11.8819919,8.11126292,5.811593826,6.605357696,3.76718682
ENSG00000160180.15,TFF3,59.89251,77.4557,111.69183,25.68976,31.89456,28.96203
ENSG00000160188.10,RSPH1,38.598921,40.38945,30.244586,0.7548319,0.4791707,1.12461573
ENSG00000160200.17,CBS,65.74163,81.694496,149.916095,31.115652,38.914792,49.492216
ENSG00000160221.18,GATD3A,10.9723626,14.9666276,16.8153137,7.1858814,6.581709,9.1979457
ENSG00000160226.16,CFAP410,52.559151,53.679966,57.693453,19.110367,25.202543,22.162164
ENSG00000160229.12,ZNF66,7.183717,5.5814609,6.963567,3.862324,3.325236,3.8940852
ENSG00000160285.15,LSS,115.892043,115.98953,108.4702907,47.380754,48.930058,39.058413
ENSG00000160294.11,MCM3AP,61.479842,66.981282,70.543426,36.911192,32.390318,32.400989
ENSG00000160310.18,PRMT2,132.173159,163.119586,129.500455,53.673913,57.3379506,49.6758788
ENSG00000160323.18,ADAMTS13,1.2238859,2.0725275,1.6085882,0.242793,0.4556555,0.4347585
ENSG00000160325.14,CACFD1,16.2625054,17.033905,17.694784,7.156969,5.8791477,5.728736
ENSG00000160336.15,ZNF761,10.31749,10.846085,10.40485,5.360154,4.494658,5.586924
ENSG00000160345.13,C9orf116,107.39134,113.00416,114.11633,28.353468,23.711392,33.890161
ENSG00000160445.11,ZER1,41.699193,35.6901,46.998178,15.15358,19.60247,20.92457
ENSG00000160460.16,SPTBN4,1.2054293,0.554125402,2.2329993,0.30150339,0.2359402,0.4691068
ENSG00000160588.10,MPZL3,27.171022,27.232954,19.36264,12.084391,9.037919,9.637549
ENSG00000160602.14,AC010761.1,5.021534,5.955353,3.682762,1.509852,2.599835,1.885009
ENSG00000160606.11,TLCD1,40.32649,41.31228,51.9659,16.07019,15.25322,19.84614
ENSG00000160695.14,VPS11,11.6368703,12.415345,13.0965164,7.2131225,6.6136751,6.9089175
ENSG00000160766.14,GBAP1,10.767243,12.7216526,10.008382,4.282837,4.249673,3.345959
ENSG00000160781.17,PAQR6,17.31967503,19.09346305,24.4907486,9.737651277,10.91009581,13.374364
ENSG00000160972.9,PPP1R16A,187.196823,220.369142,291.425583,82.380898,99.062169,100.808672
ENSG00000160973.7,FOXH1,1.558732,2.852362,1.03748,0.17167,0.520244,0.656424
ENSG00000160991.16,ORAI2,103.54312,119.6142518,132.651035,34.530003,31.8580669,32.4158175
ENSG00000161010.15,MRNIP,12.5452226,15.5311585,16.86862902,5.817993,7.8390816,8.7905878
ENSG00000161013.17,MGAT4B,166.694796,189.9813249,245.829628,77.211453,80.437823,117.322043
ENSG00000161040.16,FBXL13,1.2132322,0.7211347,1.1104294,0.0674656,0.2770963,0.0983234
ENSG00000161103.11,AC008132.1,0.022702,0.0261885,0.8650465,0.0147979,0,0.0312229
ENSG00000161277.10,THAP8,7.961238,7.369307,13.142382,3.307182,3.495168,4.030817
ENSG00000161298.18,ZNF382,1.0187189,0.845654,1.118182,0.0836355,0.177637,0.5585629
ENSG00000161542.16,PRPSAP1,59.492801,67.255773,52.999712,32.062992,30.731941,29.183404
ENSG00000161558.11,TMEM143,6.275432,8.159626,7.1921552,2.632778,3.987555,2.384872
ENSG00000161664.6,ASB16,2.83783,3.2554,3.2452,1.05957,1.02507,0.847689
ENSG00000161671.16,EMC10,116.04894,127.526444,110.9654173,66.580601,73.430514,61.727674
ENSG00000161914.10,ZNF653,10.7242766,11.05715,8.994731,4.398212,7.578644,5.001838
ENSG00000161920.10,MED11,25.894919,28.2888957,26.253079,3.126183,4.974653,4.430671
ENSG00000162004.17,CCDC78,131.1058,131.7011643,147.566426,29.49402909,39.293789,43.689384
ENSG00000162065.13,TBC1D24,12.99932851,13.14133668,18.12845703,6.497572002,5.27853486,6.475426742
ENSG00000162066.15,AMDHD2,73.334698,73.185389,118.650153,33.458029,37.909234,39.378312
ENSG00000162069.15,BICDL2,31.01322052,39.10444,52.97602,18.56606,21.83801,26.2742
ENSG00000162148.11,PPP1R32,2.626057,3.755205,6.89953,1.159692,0.9553905,1.9045609
ENSG00000162413.16,KLHL21,14.45739007,14.4915,21.414993,6.665102015,6.3087443,9.050737
ENSG00000162434.12,JAK1,79.156302,91.311619,83.172779,39.754269,31.71238,41.845333
ENSG00000162522.11,KIAA1522,85.557777,107.43851,111.8259426,34.44019,34.7699044,44.1940068
ENSG00000162576.16,MXRA8,8.925193,8.677644,13.711021,1.425063535,1.999338,3.317624
ENSG00000162600.12,OMA1,23.109616,26.8537584,20.881718,11.2352756,10.837347,11.252042
ENSG00000162616.9,DNAJB4,12.13319,7.273718,5.943204,3.438908,3.175009,2.1483894
ENSG00000162639.16,HENMT1,43.41097901,47.917833,27.181453,22.505387,24.763557,16.859663
ENSG00000162735.18,PEX19,55.220817,62.570522,59.361817,30.127001,32.060278,36.898905
ENSG00000162736.17,NCSTN,95.159829,111.238163,103.26173,47.2658884,49.4258283,61.1496428
ENSG00000162755.14,KLHDC9,14.896205,13.839088,18.120733,5.81077,4.58531,4.554544
ENSG00000162814.11,SPATA17,7.164959,5.863747,5.97883,1.559843,1.6968156,3.865218
ENSG00000162924.14,REL,15.381086,15.663698,15.690334,7.988262,6.28647,10.653811
ENSG00000162929.13,KIAA1841,14.571221,12.994548,14.106527,4.694505,4.582854,4.584199
ENSG00000162981.14,FAM84A,8.05883,9.894124,14.789367,3.17562,3.94342,6.986208
ENSG00000162989.5,KCNJ3,21.915617,25.00221,11.675466,0.657151,1.1744371,0.1868533
ENSG00000162994.16,CLHC1,7.8749332,5.499961,9.967644,1.3198333,1.2079582,1.9837947
ENSG00000163001.11,CFAP36,70.75685,67.36705,69.463417,18.283229,16.739748,19.73294
ENSG00000163017.13,ACTG2,5.600146,5.4770529,3.6315076,0.885541,0.718315,0.503581
ENSG00000163040.14,CCDC74A,98.064976,93.404081,108.40317,40.711465,44.002184,45.06212
ENSG00000163053.11,SLC16A14,4.919463,3.913104,3.445493,0.818403,1.989836,1.058358
ENSG00000163071.11,SPATA18,8.759856,10.015732,11.410809,3.615963,2.935295,4.396216
ENSG00000163075.13,CFAP221,1.4844413,1.1563153,1.700402,0.3937577,0.1602113,0.6692343
ENSG00000163093.12,BBS5,8.202996,7.320178,7.790758,3.8028298,2.981163,3.808845
ENSG00000163116.10,STPG2,0.6506444,0.0898573,0.6152909,0,0,0.0217332
ENSG00000163138.19,PACRGL,16.240432,14.98870149,19.0963718,6.662665103,6.0987373,9.91786229
ENSG00000163166.15,IWS1,59.915466,58.387496,60.368173,29.664699,29.746739,33.759562
ENSG00000163312.11,HELQ,8.83163,9.03653,10.92661,5.483976,4.559612,5.834501
ENSG00000163322.14,ABRAXAS1,11.787931,12.174757,12.148926,6.323572,4.228698,6.102915
ENSG00000163328.13,GPR155,2.919871,2.9674997,2.671775,0.8664667,0.6129882,1.092261
ENSG00000163346.17,PBXIP1,55.42856,52.768851,103.421156,12.7718447,14.12125461,21.658235
ENSG00000163347.6,CLDN1,11.6537,14.379032,8.27903,0.867738,0.978727,1.87582
ENSG00000163348.4,PYGO2,50.30107,56.56436,66.9347,28.49734,26.41504,29.31889
ENSG00000163430.12,FSTL1,2.0848411,4.8463179,1.3408861,0.092681,0.1822541,0.2386492
ENSG00000163482.12,STK36,45.483503,53.022342,52.237372,11.886583,17.852307,21.747676
ENSG00000163491.16,NEK10,3.3313662,2.4026225,1.7190696,0.1746153,0.557880674,0.3037764
ENSG00000163513.17,TGFBR2,29.6563,35.6313,21.06571,13.90987,10.83355,11.74614
ENSG00000163521.16,GLB1L,8.58215,7.832228,7.415075,1.825762,3.10815294,2.9265593
